type,Mã trạm/LakeCode,Trạm/Hồ,Tên sông/Lưu vực,Tên tỉnh,Thời gian (UTC),Mực nước (m),Cảnh báo/Xu thế,Cảnh báo value (0-4),Chênh lệch cảnh báo (m),BĐ1 (m),BĐ2 (m),BĐ3 (m),Mực nước lịch sử (m),Năm lũ lịch sử,x,y,Dung tích (m3),Dung tích TK (m3),Tỷ lệ dung tích (%),Q đến (m3/s),Q xả (m3/s),Mực nước BT (m),Mực nước GC (m),Mã Cảnh báo,province_code,basin_code
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-11 21:00,104.8,Xuong,,,,,,,,108.89860571809233,13.023980033712723,340.338135,349.7,97.32,,300.0,105.0,105.96,1.0,54.0,1.0
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-12 23:00,104.8,BinhThuong,,,,,,,,108.89860571809233,13.023980033712723,340.338135,349.7,97.32,,300.0,105.0,105.96,1.0,54.0,1.0
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-13 20:00,104.79,BinhThuong,,,,,,,,108.89860571809233,13.023980033712723,339.870453,349.7,97.19,,300.0,105.0,105.96,1.0,54.0,1.0
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-14 23:00,104.34,Xuong,,,,,,,,108.89860571809233,13.023980033712723,318.828217,349.7,91.17,,300.0,105.0,105.96,1.0,54.0,1.0
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-15 21:00,103.43,Xuong,,,,,,,,108.89860571809233,13.023980033712723,276.2768,349.7,79.0,,600.0,105.0,105.96,1.0,54.0,1.0
Lake,D0C28BB9-FE47-4BC2-B0DB-445038C1D1C5,Sông Hinh,Ba,Đắk Lắk,2025-11-10 20:00,205.512,Len,,,,,,,,108.9658325275859,12.881268988998505,234.065933,357.0,65.56,90.0,20.0,209.0,,1.0,54.0,4.0
Lake,D0C28BB9-FE47-4BC2-B0DB-445038C1D1C5,Sông Hinh,Ba,Đắk Lắk,2025-11-11 20:00,205.579,Len,,,,,,,,108.9658325275859,12.881268988998505,236.53479,357.0,66.26,80.0,20.0,209.0,,1.0,54.0,4.0
Lake,D0C28BB9-FE47-4BC2-B0DB-445038C1D1C5,Sông Hinh,Ba,Đắk Lắk,2025-11-12 19:00,205.61,BinhThuong,,,,,,,,108.9658325275859,12.881268988998505,237.6773,357.0,66.58,80.0,20.0,209.0,,1.0,54.0,4.0
Lake,D0C28BB9-FE47-4BC2-B0DB-445038C1D1C5,Sông Hinh,Ba,Đắk Lắk,2025-11-13 19:00,205.63,BinhThuong,,,,,,,,108.9658325275859,12.881268988998505,23.756,357.0,6.65,80.0,0.0,209.0,,1.0,54.0,4.0
Lake,D0C28BB9-FE47-4BC2-B0DB-445038C1D1C5,Sông Hinh,Ba,Đắk Lắk,2025-11-14 19:00,205.64,Len,,,,,,,,108.9658325275859,12.881268988998505,236.069,357.0,66.13,80.0,0.0,209.0,,1.0,54.0,4.0
Lake,D0C28BB9-FE47-4BC2-B0DB-445038C1D1C5,Sông Hinh,Ba,Đắk Lắk,2025-11-15 19:00,205.643,Xuong,,,,,,,,108.9658325275859,12.881268988998505,236.069,357.0,66.13,80.0,0.0,209.0,,1.0,54.0,4.0
Lake,1D320527-2DC9-4C79-A00B-EBB16D44F735,Bình Điền,Hương - Bồ,TP. Huế,2025-11-10 23:00,80.59,BinhThuong,,,,,,,,,,353.64032,423.68,83.47,,52.0,85.0,,1.0,46.0,6.0
Lake,1D320527-2DC9-4C79-A00B-EBB16D44F735,Bình Điền,Hương - Bồ,TP. Huế,2025-11-11 23:00,80.59,BinhThuong,,,,,,,,,,353.64032,423.68,83.47,,52.0,85.0,,1.0,46.0,6.0
Lake,1D320527-2DC9-4C79-A00B-EBB16D44F735,Bình Điền,Hương - Bồ,TP. Huế,2025-11-12 23:00,80.51,Xuong,,,,,,,,,,352.369843,423.68,83.17,,192.0,85.0,,1.0,46.0,6.0
Lake,1D320527-2DC9-4C79-A00B-EBB16D44F735,Bình Điền,Hương - Bồ,TP. Huế,2025-11-13 23:00,80.27,Xuong,,,,,,,,,,348.558075,423.68,82.27,,185.0,85.0,,1.0,46.0,6.0
Lake,1D320527-2DC9-4C79-A00B-EBB16D44F735,Bình Điền,Hương - Bồ,TP. Huế,2025-11-14 23:00,79.17,Xuong,,,,,,,,,,332.925537,423.68,78.58,,345.0,85.0,,1.0,46.0,6.0
Lake,1D320527-2DC9-4C79-A00B-EBB16D44F735,Bình Điền,Hương - Bồ,TP. Huế,2025-11-15 23:00,77.92,Xuong,,,,,,,,,,315.8405,423.68,74.55,,159.0,85.0,,1.0,46.0,6.0
Lake,1D320527-2DC9-4C79-A00B-EBB16D44F735,Bình Điền,Hương - Bồ,TP. Huế,2025-11-16 00:00,77.89,Xuong,,,,,,,,,,315.4305,423.68,74.45,,158.0,85.0,,1.0,46.0,6.0
Lake,1D320527-2DC9-4C79-A00B-EBB16D44F735,Bình Điền,Hương - Bồ,TP. Huế,2025-11-16 01:00,77.86,Xuong,,,,,,,,,,315.020477,423.68,74.35,,157.0,85.0,,1.0,46.0,6.0
Lake,1D320527-2DC9-4C79-A00B-EBB16D44F735,Bình Điền,Hương - Bồ,TP. Huế,2025-11-16 03:00,77.8,Xuong,,,,,,,,,,314.200439,423.68,74.16,,156.0,85.0,,01,46,06
Lake,A11984FB-8CAD-44D7-BF9E-A0E881483E47,Hương Điền,Hương - Bồ,TP. Huế,2025-11-10 23:00,56.36,BinhThuong,,,,,,,,107.398152181731,16.4215259927713,765.963,820.66,93.34,,31.0,58.0,,1.0,46.0,6.0
Lake,A11984FB-8CAD-44D7-BF9E-A0E881483E47,Hương Điền,Hương - Bồ,TP. Huế,2025-11-11 23:00,56.23,Xuong,,,,,,,,107.398152181731,16.4215259927713,761.555,820.66,92.8,,151.0,58.0,,1.0,46.0,6.0
Lake,A11984FB-8CAD-44D7-BF9E-A0E881483E47,Hương Điền,Hương - Bồ,TP. Huế,2025-11-12 23:00,55.85,Xuong,,,,,,,,107.398152181731,16.4215259927713,748.741,820.66,91.24,,193.0,58.0,,1.0,46.0,6.0
Lake,A11984FB-8CAD-44D7-BF9E-A0E881483E47,Hương Điền,Hương - Bồ,TP. Huế,2025-11-13 23:00,55.11,Xuong,,,,,,,,107.398152181731,16.4215259927713,724.103,820.66,88.23,,400.0,58.0,,1.0,46.0,6.0
Lake,A11984FB-8CAD-44D7-BF9E-A0E881483E47,Hương Điền,Hương - Bồ,TP. Huế,2025-11-14 23:00,54.05,Xuong,,,,,,,,107.398152181731,16.4215259927713,692.275,820.66,84.36,,384.0,58.0,,1.0,46.0,6.0
Lake,A11984FB-8CAD-44D7-BF9E-A0E881483E47,Hương Điền,Hương - Bồ,TP. Huế,2025-11-15 23:00,53.23,Xuong,,,,,,,,107.398152181731,16.4215259927713,668.104,820.66,81.41,,54.0,58.0,,1.0,46.0,6.0
Lake,A11984FB-8CAD-44D7-BF9E-A0E881483E47,Hương Điền,Hương - Bồ,TP. Huế,2025-11-16 01:00,53.22,Xuong,,,,,,,,107.398152181731,16.4215259927713,667.57,820.66,81.35,,53.0,58.0,,1.0,46.0,6.0
Lake,A11984FB-8CAD-44D7-BF9E-A0E881483E47,Hương Điền,Hương - Bồ,TP. Huế,2025-11-16 02:00,53.21,Xuong,,,,,,,,107.398152181731,16.4215259927713,667.303,820.66,81.31,,53.0,58.0,,1.0,46.0,6.0
Lake,A11984FB-8CAD-44D7-BF9E-A0E881483E47,Hương Điền,Hương - Bồ,TP. Huế,2025-11-16 03:00,53.2,Xuong,,,,,,,,107.398152181731,16.4215259927713,667.036,820.66,81.28,,53.0,58.0,,01,46,06
Lake,fd622826-9f2e-4130-8995-1654bac81895,Tả Trạch,Hương - Bồ,TP. Huế,2025-11-10 23:55,41.144,Len,,,,,,,,107.63576850083182,16.28929281014457,338.041473,420.03,80.48,134.47258,80.0,45.0,53.07,1.0,46.0,6.0
Lake,fd622826-9f2e-4130-8995-1654bac81895,Tả Trạch,Hương - Bồ,TP. Huế,2025-11-11 23:55,41.36,Len,,,,,,,,107.63576850083182,16.28929281014457,342.6336,420.03,81.57,128.55632,80.0,45.0,53.07,1.0,46.0,6.0
Lake,fd622826-9f2e-4130-8995-1654bac81895,Tả Trạch,Hương - Bồ,TP. Huế,2025-11-12 23:55,41.218,BinhThuong,,,,,,,,107.63576850083182,16.28929281014457,339.614655,420.03,80.85,22.2417736,,45.0,53.07,1.0,46.0,6.0
